RESTler,Method (percentage),Branch (percentage),Line (percentage),Total,2xx,4xx,5xx,Found faults,2xx (percentage),4xx (percentage),5xx (percentage)
Features Model MicroService,39.3,13.1,38.3,"5,969.0","1,818.0","1,331.4","2,819.6",1.0,30.5,22.3,47.2
Language Tool,4.3,0.6,1.9,"32,589.0","32,243.4",345.6,0.0,0.0,98.9,1.1,0.0
NCS,41.4,32.6,44.4,480.2,140.6,339.6,0.0,0.0,29.3,70.7,0.0
REST Countries,82.7,66.7,67.0,"6,723.4",246.6,"6,473.2",3.6,0.8,3.7,96.3,0.1
SCS,69.2,36.0,61.0,"7,965.0","5,777.8","2,185.2",2.0,0.6,72.5,27.4,0.0
Genome Nexus,16.4,9.6,20.4,223.5,172.8,50.8,0.0,0.0,77.3,22.7,0.0
Person Controller,53.8,0.0,54.2,369.8,175.3,0.0,194.5,17.3,47.4,0.0,52.6
User Management,41.5,4.0,43.8,"1,694.1",61.6,"1,618.2",14.3,1.0,3.6,95.5,0.8
Market Service,11.0,0.6,9.7,"1,563.8",0.0,362.2,"1,201.6",1.0,0.0,23.2,76.8
Project Tracking,31.7,3.1,27.3,756.6,64.6,684.8,7.2,1.0,8.5,90.5,1.0
Average (found faults: sum),39.1,16.6,36.8,"5,833.4","4,070.1","1,339.1",424.3,22.7,37.2,45.0,17.9
EvoMaster,Method (percentage),Branch (percentage),Line (percentage),Total,2xx,4xx,5xx,Found faults,2xx (percentage),4xx (percentage),5xx (percentage)
Features Model MicroService,62.3,25.5,58.4,"111,884.4","32,872.2",0.0,"79,012.2",1.0,29.4,0.0,70.6
LanguageTool,6.7,1.8,3.9,"35,648.2","17,813.0","13,658.0","4,177.2",4.8,50.0,38.3,11.7
NCS,72.4,63.7,63.6,"63,245.6","60,904.6","2,341.0",0.0,0.0,96.3,3.7,0.0
REST Countries,83.5,84.7,75.4,"83,895.4","9,561.6","74,154.2",179.6,1.0,11.4,88.4,0.2
SCS,69.2,42.5,63.1,"65,896.4","65,896.4",0.0,0.0,0.0,100.0,0.0,0.0
Genome Nexus,28.8,27.1,34.6,"13,057.7","7,728.3","5,329.3",0.0,0.0,59.2,40.8,0.0
Person-controller,75.3,0.0,67.6,"88,035.0","36,235.3",0.0,"51,799.8",22.5,41.2,0.0,58.8
